               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  50,            0.049634,            0.050698,           0.0016936,             0.47677,             0.40949,             0.36687,              0.1351,            0.060471,            0.044277,           0.0040964,            0.005149,            0.005149,            0.005149
                  51,              0.0494,            0.050619,           0.0016383,             0.47541,             0.41118,             0.36645,             0.13495,            0.060511,            0.044327,           0.0040995,             0.00505,             0.00505,             0.00505
                  52,            0.049092,            0.050404,           0.0016046,             0.47362,              0.4131,             0.36651,             0.13482,            0.060546,            0.044375,           0.0041078,            0.004951,            0.004951,            0.004951
                  53,            0.048792,            0.049962,           0.0016129,             0.47521,             0.41116,             0.36641,             0.13472,            0.060576,            0.044425,           0.0041129,            0.004852,            0.004852,            0.004852
                  54,            0.048761,            0.049999,           0.0015348,             0.47682,             0.41046,             0.36598,             0.13456,            0.060605,            0.044478,           0.0041214,            0.004753,            0.004753,            0.004753
                  55,            0.048296,             0.04971,           0.0015001,              0.4756,             0.41207,             0.36586,             0.13444,            0.060632,            0.044526,           0.0041279,            0.004654,            0.004654,            0.004654
                  56,            0.048005,            0.049242,           0.0015576,             0.47322,             0.41289,             0.36564,             0.13429,            0.060665,            0.044578,           0.0041379,            0.004555,            0.004555,            0.004555
                  57,             0.04792,             0.04945,           0.0015338,             0.47271,             0.41315,              0.3657,             0.13434,            0.060703,             0.04463,           0.0041453,            0.004456,            0.004456,            0.004456
                  58,            0.047477,            0.048889,           0.0015028,             0.47141,             0.41333,             0.36488,             0.13411,            0.060741,            0.044692,           0.0041529,            0.004357,            0.004357,            0.004357
                  59,            0.047205,            0.048869,           0.0013851,               0.469,             0.41401,             0.36492,             0.13399,            0.060785,            0.044752,           0.0041588,            0.004258,            0.004258,            0.004258
                  60,            0.046986,            0.048476,           0.0013651,             0.46746,             0.41426,             0.36418,             0.13374,            0.060823,            0.044813,           0.0041581,            0.004159,            0.004159,            0.004159
                  61,            0.046565,            0.048126,           0.0013882,              0.4678,             0.41423,             0.36388,             0.13373,            0.060861,            0.044875,            0.004163,             0.00406,             0.00406,             0.00406
                  62,            0.046357,             0.04838,           0.0013263,             0.46592,             0.41511,              0.3637,             0.13377,            0.060897,            0.044942,           0.0041635,            0.003961,            0.003961,            0.003961
                  63,            0.046167,            0.048078,           0.0013136,              0.4659,             0.41482,             0.36355,             0.13385,            0.060932,            0.045007,           0.0041675,            0.003862,            0.003862,            0.003862
                  64,            0.045671,            0.047679,           0.0012724,              0.4656,             0.41672,             0.36386,             0.13378,            0.060968,            0.045074,           0.0041759,            0.003763,            0.003763,            0.003763
                  65,             0.04545,            0.047272,           0.0012282,             0.46915,             0.41307,             0.36257,             0.13353,            0.061005,            0.045144,           0.0041834,            0.003664,            0.003664,            0.003664
                  66,            0.045193,            0.047046,           0.0012642,             0.46762,             0.41458,             0.36182,             0.13316,            0.061045,            0.045218,           0.0041943,            0.003565,            0.003565,            0.003565
                  67,            0.044855,            0.046511,           0.0012108,             0.46793,             0.41516,             0.36231,             0.13298,            0.061083,            0.045291,           0.0042054,            0.003466,            0.003466,            0.003466
